Class names: 1 2 3 
Training Data:
samples_67 3 51 75 0.08 1.25 96.66 68 1 5 2 0 1 20 100 
samples_68 3 52 76 0.07 1.25 96.73 68 1 1 1 0 1 100 100 
samples_69 3 53 77 0.07 1.24 96.79 68 1 1 1 0 1 100 100 
samples_70 3 54 78 0.07 1.24 96.85 69 1 2 2 0 1 50 100 
samples_71 3 55 79 0.07 1.23 96.90 69 2 22 3 201.66 2.50 9 100 
samples_72 3 56 80 0.07 1.23 96.96 70 1 5 3 0 1 20 100 
samples_73 3 57 81 0.07 1.22 97.01 70 2 2 2 0 1 100 100 
samples_74 3 58 82 0.07 1.22 97.06 70 2 2 2 0 1 100 100 
samples_75 3 59 83 0.06 1.22 97.11 71 1 22 3 0 1 4 100 
samples_76 3 60 84 0.06 1.21 97.16 71 1 1 1 0 1 100 100 
samples_77 3 61 85 0.06 1.21 97.21 71 1 21 2 0 1 4 100 
samples_78 3 62 86 0.06 1.20 97.25 72 1 2 2 0 1 50 100 
samples_79 3 63 87 0.06 1.20 97.30 72 1 1 1 0 1 100 100 
samples_80 3 64 88 0.06 1.20 97.34 72 2 23 4 0.14 4 8 100 
samples_81 3 65 89 0.06 1.20 97.38 73 2 15 2 7.61 7.50 13 100 
samples_82 3 66 90 0.06 1.19 97.42 73 1 1 1 0 1 100 100 
samples_83 3 67 91 0.06 1.19 97.46 73 2 3 2 0.01 1.50 66 100 
samples_84 3 68 92 0.06 1.19 97.50 73 2 8 4 20.74 2 25 100 
samples_85 3 69 93 0.05 1.18 97.53 74 2 13 2 201.40 6.50 15 100 
samples_86 3 70 94 0.05 1.18 97.57 74 1 8 4 0 1 12 100 
samples_87 3 71 95 0.05 1.18 97.60 74 2 5 3 0.59 2 40 100 
samples_88 3 72 96 0.05 1.18 97.63 75 1 1 1 0 1 100 100 
samples_89 3 73 97 0.05 1.17 97.67 75 1 1 1 0 1 100 100 
samples_90 3 74 98 0.05 1.17 97.70 75 2 8 2 0.64 4 25 100 
samples_91 3 75 99 0.05 1.17 97.73 75 1 1 1 0 1 100 100 
samples_92 3 76 100 0.05 1.17 97.76 76 1 2 2 0 1 50 100 
samples_93 3 77 101 0.05 1.16 97.79 76 2 6 2 3.71 3 33 100 
samples_94 3 3 10 113.56 3 70 30 152 603 294 171.77 1.64 25 10 
samples_95 3 11 38 50.81 3.36 91.81 28 25 109 34 772.36 3.32 22 100 
samples_96 1 2 9 170.35 4 100 22 24 192 39 1460.79 5.87 12 100 
samples_97 2 10 37 55.90 3.60 91 27 12 69 14 78.70 5.16 17 100 
samples_98 3 1 3 0 1 100 33 14 84 20 1122.56 5.28 16 100 
samples_99 2 12 42 46.68 3.41 92.50 28 11 89 16 2138.75 6.72 12 100 
samples_100 1 8 33 51.52 2.37 88.75 24 18 121 20 91.57 6.16 14 100 
samples_101 2 6 26 56.80 2.50 85 23 22 144 34 227.95 3.68 15 100 
samples_102 3 5 16 68.14 2.20 82 31 31 76 36 1447.69 2.29 40 100 
samples_103 1 9 34 61.66 3.66 90 26 17 118 25 447.47 3.82 14 100 
samples_104 3 4 11 85.17 2.50 77.50 36 67 283 87 807.34 3.28 23 100 
samples_105 3 7 27 48.68 2.28 87.14 25 33 104 44 37.81 2.24 31 100 
samples_106 2 13 44 43.09 3.30 89.23 29 165 591 213 132.98 2.66 27 50 
samples_107 2 2 3 0 1.50 55 66 152 603 294 171.77 1.64 25 10 
samples_108 1 13 68 31.63 3.69 89.23 19 6 138 26 1874.38 7.66 4 100 
samples_109 2 3 7 1.17 2.33 70 42 9 101 21 2213.82 7.66 8 100 
samples_110 3 1 1 0 1 100 100 24 192 39 1460.79 5.87 12 100 
samples_111 2 4 11 1.03 2.75 77.50 36 18 121 20 91.57 6.16 14 100 
samples_112 2 5 16 0.93 3.20 82 31 31 76 36 1447.69 2.29 40 100 
samples_113 3 6 17 0.77 2.83 85 35 67 283 87 807.34 3.28 23 100 
samples_114 2 7 19 0.70 2.71 87.14 36 29 175 43 1093.98 4 16 100 
samples_115 3 8 23 0.61 2.50 88.75 34 17 57 23 5.54 2.23 29 100 
samples_116 2 9 25 0.55 2.44 90 36 37 169 44 387.83 3.64 21 100 
samples_117 1 10 29 7.10 2.40 91 34 17 26 17 6.45 1.58 65 100 
samples_118 2 12 46 5.96 3 88.33 26 35 157 53 348.03 3.22 22 50 
samples_119 1 11 43 6.49 3 91.81 25 25 160 32 422.69 5.68 15 100 
samples_120 3 20 97 22.16 3.85 89 20 76 270 86 291.57 2.92 28 20 
samples_121 1 14 74 29.53 3.85 90 18 6 56 11 891.36 6.16 10 100 
samples_122 1 15 81 27.62 4.06 90.66 18 6 88 11 1282.91 6.50 6 100 
samples_123 2 17 84 24.39 3.76 91.76 20 17 47 23 6.90 2.23 36 100 
samples_124 3 16 82 25.89 3.87 91.25 19 32 68 42 49.39 1.68 47 100 
samples_125 1 19 96 23.32 4 92.63 19 7 145 12 741.49 5.42 4 100 
samples_126 1 18 87 24.56 3.72 92.22 20 5 38 7 6108.34 6.60 13 100 
samples_127 3 21 75 772.66 2.38 82.38 28 152 603 294 171.77 1.64 25 10 
samples_128 1 11 47 21.88 2 100 23 6 138 26 1874.38 7.66 4 100 
samples_129 1 45 161 711.87 2.55 57.55 27 9 101 21 2213.82 7.66 8 100 
samples_130 1 14 54 975.87 2.35 100 25 25 109 34 772.36 3.32 22 100 
samples_131 1 55 184 1183.11 2.45 63.81 29 24 192 39 1460.79 5.87 12 100 
samples_132 3 57 187 1141.60 2.42 65.08 30 15 
